"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication de bière (NAF rév. 2, niveau classe, poste 11.05)";"Codes"
"idBank";"010767678";""
"Dernière mise à jour";"03/05/2024 08:45";""
"Période";"";""
"2019-12";"100.28";"A"
"2019-11";"108.47";"A"
"2019-10";"103.29";"A"
"2019-09";"103.91";"A"
"2019-08";"101.95";"A"
"2019-07";"106.58";"A"
"2019-06";"101.72";"A"
"2019-05";"96.69";"A"
"2019-04";"107.22";"A"
"2019-03";"107.71";"A"
"2019-02";"103.17";"A"
"2019-01";"107.43";"A"
"2018-12";"109.46";"A"
"2018-11";"97.22";"A"
"2018-10";"107.62";"A"
"2018-09";"109.7";"A"
"2018-08";"116.98";"A"
"2018-07";"113.5";"A"
"2018-06";"106.98";"A"
"2018-05";"121.33";"A"
"2018-04";"107.28";"A"
"2018-03";"103.73";"A"
"2018-02";"106.58";"A"
"2018-01";"106.22";"A"
"2017-12";"106.13";"A"
"2017-11";"103.7";"A"
"2017-10";"109.35";"A"
"2017-09";"100.56";"A"
"2017-08";"101.11";"A"
"2017-07";"104.6";"A"
"2017-06";"120.42";"A"
"2017-05";"109.25";"A"
"2017-04";"115.36";"A"
"2017-03";"111.05";"A"
"2017-02";"108.94";"A"
"2017-01";"95.69";"A"
"2016-12";"112.34";"A"
"2016-11";"106.04";"A"
"2016-10";"108.94";"A"
"2016-09";"113.94";"A"
"2016-08";"112.42";"A"
"2016-07";"107.32";"A"
"2016-06";"104.36";"A"
"2016-05";"105.3";"A"
"2016-04";"100.08";"A"
"2016-03";"108.35";"A"
"2016-02";"105.38";"A"
"2016-01";"105.32";"A"
"2015-12";"108.2";"A"
"2015-11";"107.47";"A"
"2015-10";"103.81";"A"
"2015-09";"105.97";"A"
"2015-08";"102.23";"A"
"2015-07";"117.4";"A"
"2015-06";"105.47";"A"
"2015-05";"117.17";"A"
"2015-04";"106.0";"A"
"2015-03";"100.51";"A"
"2015-02";"104.42";"A"
"2015-01";"106.05";"A"
"2014-12";"98.23";"A"
"2014-11";"98.64";"A"
"2014-10";"98.98";"A"
"2014-09";"106.71";"A"
"2014-08";"96.67";"A"
"2014-07";"94.01";"A"
"2014-06";"104.54";"A"
"2014-05";"92.52";"A"
"2014-04";"96.96";"A"
"2014-03";"97.87";"A"
"2014-02";"94.76";"A"
"2014-01";"93.49";"A"
"2013-12";"97.43";"A"
"2013-11";"93.88";"A"
"2013-10";"92.24";"A"
"2013-09";"89.38";"A"
"2013-08";"96.63";"A"
"2013-07";"94.94";"A"
"2013-06";"76.51";"A"
"2013-05";"88.58";"A"
"2013-04";"81.04";"A"
"2013-03";"80.05";"A"
"2013-02";"72.14";"A"
"2013-01";"54.14";"A"
"2012-12";"135.92";"A"
"2012-11";"100.85";"A"
"2012-10";"92.06";"A"
"2012-09";"89.56";"A"
"2012-08";"96.37";"A"
"2012-07";"80.28";"A"
"2012-06";"83.85";"A"
"2012-05";"87.13";"A"
"2012-04";"86.13";"A"
"2012-03";"84.86";"A"
"2012-02";"85.17";"A"
"2012-01";"84.13";"A"
"2011-12";"87.21";"A"
"2011-11";"89.55";"A"
"2011-10";"90.1";"A"
"2011-09";"88.76";"A"
"2011-08";"87.12";"A"
"2011-07";"81.79";"A"
"2011-06";"85.31";"A"
"2011-05";"87.52";"A"
"2011-04";"85.52";"A"
"2011-03";"80.53";"A"
"2011-02";"81.42";"A"
"2011-01";"80.82";"A"
"2010-12";"78.23";"A"
"2010-11";"80.89";"A"
"2010-10";"76.77";"A"
"2010-09";"76.99";"A"
"2010-08";"75.44";"A"
"2010-07";"92.37";"A"
"2010-06";"79.68";"A"
"2010-05";"77.02";"A"
"2010-04";"77.19";"A"
"2010-03";"79.32";"A"
"2010-02";"73.94";"A"
"2010-01";"75.36";"A"
"2009-12";"77.27";"A"
"2009-11";"74.88";"A"
"2009-10";"75.73";"A"
"2009-09";"78.29";"A"
"2009-08";"78.25";"A"
"2009-07";"82.16";"A"
"2009-06";"78.02";"A"
"2009-05";"76.65";"A"
"2009-04";"77.45";"A"
"2009-03";"77.23";"A"
"2009-02";"73.69";"A"
"2009-01";"74.39";"A"
"2008-12";"71.35";"A"
"2008-11";"68.4";"A"
"2008-10";"71.9";"A"
