dates;IPI
2024-03;116.5
2024-02;111.27
2024-01;111.26
2023-12;116.67
2023-11;115.18
2023-10;109.73
2023-09;115.01
2023-08;114.3
2023-07;101.53
2023-06;113.29
2023-05;117.21
2023-04;114.78
2023-03;113.35
2023-02;113.68
2023-01;108.24
2022-12;101.37
2022-11;112.45
2022-10;112.66
2022-09;105.97
2022-08;111.14
2022-07;119.07
2022-06;111.22
2022-05;108.2
2022-04;106.01
2022-03;108.27
2022-02;108.48
2022-01;111.32
2021-12;105.41
2021-11;104.0
2021-10;110.36
2021-09;108.69
2021-08;103.69
2021-07;95.4
2021-06;95.81
2021-05;90.62
2021-04;103.77
2021-03;91.79
2021-02;90.68
2021-01;99.77
2020-12;90.84
2020-11;95.93
2020-10;90.94
2020-09;94.48
2020-08;77.37
2020-07;116.28
2020-06;92.44
2020-05;66.64
2020-04;71.53
2020-03;84.5
2020-02;104.29
2020-01;102.72
2019-12;102.24
2019-11;101.3
2019-10;99.5
2019-09;99.3
2019-08;101.56
2019-07;101.7
2019-06;100.18
2019-05;100.46
2019-04;95.12
2019-03;98.92
2019-02;97.45
2019-01;97.37
2018-12;96.68
2018-11;100.2
2018-10;100.03
2018-09;102.57
2018-08;104.53
2018-07;104.42
2018-06;98.72
2018-05;103.05
2018-04;99.37
2018-03;99.66
2018-02;93.2
2018-01;93.67
2017-12;97.95
2017-11;90.85
2017-10;94.3
2017-09;93.02
2017-08;96.59
2017-07;93.12
2017-06;95.29
2017-05;94.32
2017-04;96.74
2017-03;93.47
2017-02;95.28
2017-01;92.75
2016-12;94.14
2016-11;92.07
2016-10;95.85
2016-09;94.45
2016-08;92.93
2016-07;84.26
2016-06;94.03
2016-05;90.43
2016-04;88.6
2016-03;90.71
2016-02;90.26
2016-01;94.63
2015-12;94.0
2015-11;91.77
2015-10;86.76
2015-09;88.39
2015-08;87.44
2015-07;96.71
2015-06;94.5
2015-05;96.46
2015-04;96.62
2015-03;92.18
2015-02;95.0
2015-01;91.67
2014-12;94.01
2014-11;98.85
2014-10;93.05
2014-09;90.68
2014-08;80.92
2014-07;84.7
2014-06;89.84
2014-05;85.18
2014-04;95.56
2014-03;89.42
2014-02;92.43
2014-01;87.21
2013-12;85.64
2013-11;82.64
2013-10;91.29
2013-09;92.07
2013-08;94.52
2013-07;64.63
2013-06;88.03
2013-05;80.77
2013-04;93.17
2013-03;91.86
2013-02;92.41
2013-01;99.96
2012-12;94.57
2012-11;92.27
2012-10;96.58
2012-09;86.58
2012-08;93.19
2012-07;97.69
2012-06;90.32
2012-05;94.09
2012-04;91.64
2012-03;94.81
2012-02;89.79
2012-01;89.26
2011-12;91.87
2011-11;92.27
2011-10;93.16
2011-09;94.18
2011-08;94.66
2011-07;79.91
2011-06;92.15
2011-05;87.54
2011-04;80.64
2011-03;89.97
2011-02;90.46
2011-01;92.41
2010-12;91.18
2010-11;95.56
2010-10;88.16
2010-09;92.17
2010-08;83.65
2010-07;88.19
2010-06;92.12
2010-05;91.44
2010-04;85.69
2010-03;85.66
2010-02;79.82
2010-01;80.99
2009-12;76.6
2009-11;86.25
2009-10;86.72
2009-09;79.25
2009-08;78.24
2009-07;89.45
2009-06;96.86
2009-05;91.29
2009-04;81.35
2009-03;83.56
2009-02;87.98
2009-01;82.74
2008-12;90.27
2008-11;87.36
2008-10;97.58
2008-09;99.15
2008-08;95.52
2008-07;90.65
2008-06;90.02
2008-05;93.41
2008-04;99.66
2008-03;96.57
2008-02;100.33
2008-01;97.92
2007-12;94.68
2007-11;94.24
2007-10;101.41
2007-09;92.17
2007-08;95.72
2007-07;88.47
2007-06;94.87
2007-05;95.67
2007-04;98.89
2007-03;98.16
2007-02;96.76
2007-01;96.48
2006-12;91.96
2006-11;92.66
2006-10;93.17
2006-09;93.25
2006-08;93.66
2006-07;95.98
2006-06;91.82
2006-05;93.57
2006-04;91.7
2006-03;93.26
2006-02;90.27
2006-01;90.88
